city,latitude,longitude
"San Francisco, CA",37.77493000,-122.41942000
"Honolulu, HI",21.30694440,-157.85833330
"Boston, MA",42.35843080,-71.05977320
"New York, NY",40.71435280,-74.00597310
"Asunción, Paraguay",-25.28219720,-57.63510000
"Boulder, CO",40.01498560,-105.27054560
"Chicago, IL",41.87811360,-87.62979820
"Petaluma, CA",38.23241700,-122.63665240
"Seattle, WA",47.60620950,-122.33207080
"Madison, WI",43.07305170,-89.40123020
"Montevideo, Uruguay",-34.88361110,-56.18194440
"Bend, Oregon",44.05817280,-121.31530960
Singapore,1.35208300,103.81983600
"Minneapolis, MN",44.98333400,-93.26667000
"San Mateo, CA",37.56299170,-122.32552540
"Berlin, Germany",52.52000660,13.40495400
"Orlando, FL",28.53833550,-81.37923650
"Santa Monica, CA",34.01945430,-118.49119120
"Victoria, BC",48.42842070,-123.36564440
"Denver, CO",39.73756700,-104.98471790
"Milwaukie, WI",43.03890250,-87.90647360
"Panama City, FL",30.15881290,-85.66020580
"Cape Town, South Africa",-33.92486850,18.42405530
"Port Elizabeth, South Africa",-33.93264000,25.56995000
"Burbank, CA",34.18083920,-118.30896610
"Norfolk, VA",36.85076890,-76.28587260
"Johannesburg, South Africa",-26.20410280,28.04730510
"San Diego, CA",32.71532920,-117.15725510
"Sunnyvale, CA",37.36883000,-122.03634960
"Orlando, FL",28.53833550,-81.37923650
"Lexington, KY",38.04058370,-84.50371640
" Montreal, QC",45.50866990,-73.55399250
"Victoria, BC",48.42842070,-123.36564440
"Edinburgh, Scotland",55.95325200,-3.18826700
"Indianapolis, IN",39.76840300,-86.15806800
"Colima, Mexico",19.24522600,-103.73345500
"Denver, CO",39.73756700,-104.98471790
"Savannah, GA",32.08354070,-81.09983420
"Mountain View, CA",37.38605170,-122.08385110
"Austin, TX",30.26715300,-97.74306080
"Madison, WI",43.07305170,-89.40123020
"Savannah, GA",32.08354070,-81.09983420
"Shanghai, China",31.22222000,121.45806000
"South San Francisco, CA",37.65465600,-122.40774980
"Oahu, HI",21.43891230,-158.00005650
"Cambridge, MA",42.37361580,-71.10973350
"Milwaukee, WI",43.03890250,-87.90647360
"San Luis Obispo, CA",35.28275240,-120.65961560
"Madrid, Spain",40.41677540,-3.70379020
"Brooklyn, NY",40.67817840,-73.94415790
"Cleveland, OH",41.49932000,-81.69436050
"St. Paul, MN",44.95370290,-93.08995780
"Oakland, CA",37.80436370,-122.27111370
"Portland, OR",45.52306220,-122.67648160
"Mérida, Mexico",20.96737020,-89.59258570
"Raleigh, NC",35.77958970,-78.63817870
"Chattanooga, TN",35.04562970,-85.30968010
"Yilan, Taiwan",24.70210730,121.73775020
"Atlanta, GA",33.74899540,-84.38798240
"Chandler, AZ",33.30616050,-111.84125020
"Guadalajara, Mexico",20.65969880,-103.34960920
"Dayton, OH",39.75894780,-84.19160690
"Palo Alto, CA",37.44188340,-122.14301950
"Durham, NC",35.99403290,-78.89861900
"Knoxville, TN",35.96063840,-83.92073920
"Oxford, England",51.75202090,-1.25772630
"Detroit, MI",42.33142700,-83.04575380
"Sacramento, CA",38.58157190,-121.49439960
"Pittsburgh, PA",40.44062480,-79.99588640
"Sylhet, Bangladesh",24.90453900,91.86110110
"Emeryville, CA",37.83131600,-122.28524730
"Wichita, KS",37.68717610,-97.33005300
"Tulsa, OK",36.15398160,-95.99277500
"Fresno, CA",36.74684220,-119.77258680
"Highland Hills, MN",46.98819140,-93.59983440
"Carlsbad, CA",33.15809330,-117.35059390
"Tampa, FL",27.95057500,-82.45717760
"Chapel Hill, NC",35.91319960,-79.05584450
"Philadelphia, PA",39.95258390,-75.16522150
"Melbourne, Austrailia",-37.81362760,144.96305760
"Helsingborg, Sweden",56.04646740,12.69451210
"Auckland, NZ",-36.84845970,174.76333150
"Malmö, Sweden",55.60498100,13.00382200
"Dublin, IE",53.34980530,-6.26030970
"Copenhagen, Denmark",55.67609680,12.56833710