city,latitude,longitude,number
"San Francisco, CA",37.77493,-122.41942,46
"Honolulu, HI",21.3069444,-157.8583333,1
"Boston, MA",42.3584308,-71.0597732,8
"New York, NY",40.7143528,-74.0059731,5
"Asunción, Paraguay",-25.2821972,-57.6351,1
"Boulder, CO",40.0149856,-105.2705456,6
"Chicago, IL",41.8781136,-87.6297982,4
"Petaluma, CA",38.232417,-122.6366524,1
"Seattle, WA",47.6062095,-122.3320708,6
"Madison, WI",43.0730517,-89.4012302,3
"Montevideo, Uruguay",-34.8836111,-56.1819444,1
"Bend, Oregon",44.0581728,-121.3153096,2
Singapore,1.352083,103.819836,1
"Minneapolis, MN",44.983334,-93.26667,2
"San Mateo, CA",37.5629917,-122.3255254,1
"Berlin, Germany",52.5200066,13.404954,1
"Orlando, FL",28.5383355,-81.3792365,1
"Santa Monica, CA",34.0194543,-118.4911912,2
"Victoria, BC",48.4284207,-123.3656444,1
"Denver, CO",39.737567,-104.9847179,2
"Milwaukie, WI",43.0389025,-87.9064736,2
"Panama City, FL",30.1588129,-85.6602058,2
"Cape Town, South Africa",-33.9248685,18.4240553,3
"Port Elizabeth, South Africa",-33.93264,25.56995,1
"Burbank, CA",34.1808392,-118.3089661,1
"Norfolk, VA",36.8507689,-76.2858726,1
"Johannesburg, South Africa",-26.2041028,28.0473051,1
"San Diego, CA",32.7153292,-117.1572551,2
"Sunnyvale, CA",37.36883,-122.0363496,3
"Orlando, FL",28.5383355,-81.3792365,1
"Lexington, KY",38.0405837,-84.5037164,1
" Montreal, QC",45.5086699,-73.5539925,1
"Victoria, BC",48.4284207,-123.3656444,1
"Edinburgh, Scotland",55.953252,-3.188267,1
"Indianapolis, IN",39.768403,-86.158068,1
"Colima, Mexico",19.245226,-103.733455,1
"Denver, CO",39.737567,-104.9847179,1
"Savannah, GA",32.0835407,-81.0998342,1
"Mountain View, CA",37.3860517,-122.0838511,1
"Austin, TX",30.267153,-97.7430608,1
"Madison, WI",43.0730517,-89.4012302,1
"Savannah, GA",32.0835407,-81.0998342,1
"Shanghai, China",31.22222,121.45806,1